house_id,price
198130,20.0
119959,20.0
49078,20.0
38773,20.0
252886,20.0
190631,20.0
157728,20.0
118386,20.0
258461,20.0
44079,20.0
64869,20.0
95905,20.0
16295,20.0
259099,20.0
253329,20.0
14175,20.0
218191,20.0
61344,20.0
218413,20.0
35016,20.0
112167,20.0
38007,20.0
54188,20.0
88569,20.0
5677,20.0
163564,20.0
15527,20.0
186693,20.0
101192,20.0
112836,20.0
5001,20.0
255638,20.0
264272,20.0
141470,20.0
269091,20.0
72139,20.0
90720,20.0
173471,20.0
25349,20.0
83551,20.0
884,20.0
160011,20.0
216628,20.0
232476,20.0
197451,20.0
238098,20.0
265631,20.0
91334,20.0
239330,20.0
65595,20.0
44470,20.0
18125,20.0
35970,20.0
84657,20.0
131449,20.0
2485,20.0
245009,20.0
153167,20.0
181785,20.0
126256,20.0
34315,20.0
165218,20.0
251501,20.0
97093,20.0
179650,20.0
262652,20.0
139984,20.0
89852,20.0
203178,20.0
224648,20.0
19711,20.0
28348,20.0
235158,20.0
243265,20.0
95270,20.0
8940,20.0
263693,20.0
97416,20.0
65727,20.0
42842,20.0
140296,20.0
143048,20.0
105476,20.0
7685,20.0
215942,20.0
160611,20.0
9923,20.0
250330,20.0
119234,20.0
230378,20.0
255129,20.0
193947,20.0
261862,20.0
25955,20.0
113482,20.0
265463,20.0
109220,20.0
12430,20.0
132920,20.0
31287,20.0
134045,20.0
964,20.0
248511,20.0
120664,20.0
247909,20.0
100525,20.0
50873,20.0
24600,20.0
152213,20.0
155847,20.0
58231,20.0
42156,20.0
253449,20.0
245911,20.0
81490,20.0
31388,20.0
164691,20.0
131883,20.0
211738,20.0
1850,20.0
42502,20.0
269618,20.0
62526,20.0
113753,20.0
234019,20.0
38527,20.0
197928,20.0
40368,20.0
183532,20.0
100012,20.0
157718,20.0
84906,20.0
111856,20.0
56416,20.0
54540,20.0
79470,20.0
116430,20.0
188605,20.0
161780,20.0
197651,20.0
227086,20.0
89917,20.0
90076,20.0
48665,20.0
208902,20.0
179880,20.0
12924,20.0
126330,20.0
165380,20.0
259933,20.0
271318,20.0
248604,20.0
208710,20.0
42620,20.0
92354,20.0
219200,20.0
236961,20.0
186448,20.0
198788,20.0
15025,20.0
145247,20.0
267537,20.0
34715,20.0
20818,20.0
225381,20.0
233449,20.0
132619,20.0
206736,20.0
252579,20.0
24957,20.0
48025,20.0
187079,20.0
12465,20.0
267563,20.0
202783,20.0
106731,20.0
191941,20.0
176771,20.0
12347,20.0
14671,20.0
137573,20.0
60425,20.0
170295,20.0
120564,20.0
859,20.0
64209,20.0
149958,20.0
261016,20.0
27381,20.0
72066,20.0
201363,20.0
4243,20.0
172748,20.0
40476,20.0
185553,20.0
174834,20.0
79540,20.0
77610,20.0
171045,20.0
58466,20.0
17933,20.0
44832,20.0
139177,20.0
157969,20.0
176541,20.0
245732,20.0
191105,20.0
268654,20.0
212575,20.0
42906,20.0
88282,20.0
20648,20.0
72254,20.0
182824,20.0
157822,20.0
128392,20.0
61621,20.0
32500,20.0
111035,20.0
158702,20.0
188538,20.0
32579,20.0
102525,20.0
173589,20.0
183431,20.0
11581,20.0
17699,20.0
47104,20.0
135462,20.0
59680,20.0
156878,20.0
196755,20.0
13532,20.0
110271,20.0
123342,20.0
80720,20.0
56943,20.0
81871,20.0
116900,20.0
202819,20.0
66659,20.0
197605,20.0
246705,20.0
204593,20.0
53884,20.0
224161,20.0
20052,20.0
112578,20.0
75850,20.0
231435,20.0
11661,20.0
216894,20.0
162145,20.0
238866,20.0
239002,20.0
150954,20.0
129609,20.0
143814,20.0
90681,20.0
27233,20.0
98688,20.0
118734,20.0
121492,20.0
228796,20.0
10850,20.0
50376,20.0
20090,20.0
251434,20.0
237409,20.0
89802,20.0
40944,20.0
269111,20.0
47543,20.0
25716,20.0
65609,20.0
30515,20.0
2111,20.0
174937,20.0
213600,20.0
257540,20.0
41955,20.0
185064,20.0
238222,20.0
218456,20.0
261676,20.0
35536,20.0
211092,20.0
259109,20.0
35635,20.0
194918,20.0
222155,20.0
147756,20.0
141031,20.0
171472,20.0
94634,20.0
168202,20.0
204,20.0
27366,20.0
21941,20.0
54296,20.0
207645,20.0
82480,20.0
139507,20.0
13215,20.0
113602,20.0
1582,20.0
133131,20.0
10225,20.0
240212,20.0
56059,20.0
127322,20.0
134463,20.0
270214,20.0
37973,20.0
121096,20.0
232904,20.0
156626,20.0
124731,20.0
221783,20.0
149523,20.0
254816,20.0
201486,20.0
107223,20.0
43350,20.0
3397,20.0
193345,20.0
155275,20.0
63573,20.0
114726,20.0
169877,20.0
11941,20.0
33128,20.0
263322,20.0
150647,20.0
190193,20.0
88193,20.0
30485,20.0
236829,20.0
104718,20.0
4597,20.0
71223,20.0
265033,20.0
18928,20.0
148886,20.0
262320,20.0
40590,20.0
56597,20.0
15617,20.0
265869,20.0
64130,20.0
259854,20.0
185566,20.0
80790,20.0
61558,20.0
62111,20.0
137374,20.0
31899,20.0
243010,20.0
106176,20.0
166476,20.0
64722,20.0
141360,20.0
44562,20.0
12330,20.0
94949,20.0
53873,20.0
124056,20.0
174960,20.0
192582,20.0
62517,20.0
111570,20.0
97467,20.0
57705,20.0
137320,20.0
246748,20.0
62611,20.0
243875,20.0
209690,20.0
58495,20.0
186788,20.0
7950,20.0
212663,20.0
64940,20.0
243898,20.0
239778,20.0
221651,20.0
142568,20.0
14285,20.0
29003,20.0
214975,20.0
95407,20.0
175766,20.0
79343,20.0
237058,20.0
191811,20.0
32090,20.0
149427,20.0
3952,20.0
210502,20.0
190341,20.0
105905,20.0
55375,20.0
180139,20.0
73232,20.0
144181,20.0
66204,20.0
35637,20.0
54202,20.0
92236,20.0
204760,20.0
45361,20.0
162933,20.0
65111,20.0
252832,20.0
73087,20.0
251629,20.0
210237,20.0
237340,20.0
20682,20.0
43483,20.0
248026,20.0
149698,20.0
4386,20.0
122807,20.0
172470,20.0
163333,20.0
47233,20.0
75729,20.0
45387,20.0
205872,20.0
109494,20.0
91093,20.0
120367,20.0
175411,20.0
195943,20.0
119908,20.0
163809,20.0
168314,20.0
147154,20.0
181944,20.0
227383,20.0
103149,20.0
85727,20.0
150609,20.0
222478,20.0
137587,20.0
267883,20.0
81922,20.0
242474,20.0
16404,20.0
244519,20.0
240938,20.0
18719,20.0
262499,20.0
186400,20.0
52402,20.0
146208,20.0
184164,20.0
51548,20.0
239831,20.0
138341,20.0
80443,20.0
131856,20.0
123994,20.0
268686,20.0
43708,20.0
148432,20.0
247024,20.0
183583,20.0
193182,20.0
58159,20.0
71253,20.0
13511,20.0
163170,20.0
62791,20.0
118830,20.0
91824,20.0
78389,20.0
175241,20.0
244467,20.0
223138,20.0
21905,20.0
196982,20.0
145419,20.0
69219,20.0
138998,20.0
19599,20.0
139774,20.0
28580,20.0
50979,20.0
51396,20.0
178055,20.0
135341,20.0
59188,20.0
133008,20.0
152329,20.0
499,20.0
59784,20.0
83734,20.0
231805,20.0
95302,20.0
84771,20.0
74004,20.0
